11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048066;4243;4243
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048071;157616;20047
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048074;46075;7848
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048075;22794;13954
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048079;8591;8591
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048081;72685;18217
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048082;97133;3864
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048083;27974;12558
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048086;83556;8633
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048087;34527;33181
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048088;3606;3606
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048089;88625;17099
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048097;3759;3759
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048099;3161;3161
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048100;16641;16641
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048102;132473;11352
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048107;47320;34165
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048109;36576;19049
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048111;5091;5091
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048115;27860;22254
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048130;66177;9987
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048138;14390;14390
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048140;15008;15008
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048145;121467;22866
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048149;10142;10142
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048151;7257;4316
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048152;57738;17268
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048153;8320;8320
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;0048176;8058;8058
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048001;13647;7217
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048007;206699;22852
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048008;63534;8656
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048010;211753;22277
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048011;27192;27192
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048012;45713;7752
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048013;67004;17882
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048015;18188;18188
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048016;113980;2184
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048022;129767;37443
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048027;6581;6581
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048029;35721;11198
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048035;16143;16143
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048036;34583;4200
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048039;41762;25909
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048040;132053;10087
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048041;44549;25621
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048045;118472;12893
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048048;2891;2891
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048053;24159;24159
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048063;27389;21814
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048066;1746;1746
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048071;12982;12982
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048074;14477;7848
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048075;188467;13954
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048079;155128;21317
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048081;173547;18217
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048082;136016;3864
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048083;1782;1782
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048086;65823;8633
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048087;20071;20071
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048088;35470;35230
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048089;261918;17099
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048097;243790;30233
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048099;10155;10155
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048100;18651;18651
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048102;174897;11352
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048107;42359;34165
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048109;272395;19049
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048111;106505;35859
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048115;77184;22254
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048130;55380;9987
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048138;21814;21814
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048140;78534;23993
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048145;97183;22866
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048149;4773;4773
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048151;39937;4316
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048152;32997;17268
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048153;78830;29584
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;0048176;30658;8738
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048001;74606;7058
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048007;2885;2885
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048008;41523;8656
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048010;39423;13331
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048011;17219;8465
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048012;642;642
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048013;118251;14708
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048015;53441;4022
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048016;129391;2184
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048022;80338;2814
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048024;35144;3857
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048027;125455;8648
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048029;99441;1050
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048035;12906;12906
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048036;3651;3651
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048039;76118;17427
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048040;84101;1864
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048041;12410;9811
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048043;14555;2902
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048045;5367;5367
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048048;0;0
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048053;111292;6553
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048063;171407;15332
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048066;14090;3225
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048071;34889;3807
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048074;49021;7848
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048075;36006;11690
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048079;54959;16987
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048081;88127;18217
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048082;14890;3864
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048083;72967;4766
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048086;30157;8379
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048087;145637;4906
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048088;126815;896
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048089;7128;7128
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048097;35226;20726
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048099;152288;11284
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048100;34818;16076
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048102;1249;1249
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048107;39519;8459
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048109;5632;5632
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048111;140530;7306
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;0048115;29929;1080
