16;LO 916/48 C/AR EURO 5;1;MOTOR;40532;28220
16;LO 916/48 C/AR EURO 5;2;ARREFECIMENTO;78639;77978
16;LO 916/48 C/AR EURO 5;3;EMBREAGEM;31660;25377
16;LO 916/48 C/AR EURO 5;4;CAIXA DE MARCHA;38672;28191
16;LO 916/48 C/AR EURO 5;5;EIXO DIANTEIRO;51998;34406
16;LO 916/48 C/AR EURO 5;6;EIXO TRASEIRO;39919;34429
16;LO 916/48 C/AR EURO 5;7;SUSPENSAO;10135;8189
16;LO 916/48 C/AR EURO 5;8;DIRECAO  HIDRAULICA;70219;70219
16;LO 916/48 C/AR EURO 5;9;TRANSMISSAO;88633;88633
16;LO 916/48 C/AR EURO 5;10;FREIO;10167;9584
16;LO 916/48 C/AR EURO 5;12;ELETRICA;10389;3033
16;LO 916/48 C/AR EURO 5;14;BORRACHARIA;25100;13998
16;LO 916/48 C/AR EURO 5;15;SISTEMA PNEUMATICO;41224;32522
16;LO 916/48 C/AR EURO 5;16;TACOGRAFO;75518;59691
16;LO 916/48 C/AR EURO 5;18;AR CONDICIONADO;43214;30926
16;LO 916/48 C/AR EURO 5;20;SISTEMA DE COMBUSTIVEL;63637;63637
16;LO 916/48 C/AR EURO 5;21;ARLA;92538;92538
